Tipologia di rifiuto differenziato,Anno,Territorio,Tipo dato,0,Flags
"totale","2001","Torino","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2002","Torino","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2003","Torino","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2004","Torino","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2005","Torino","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2006","Torino","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2007","Torino","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2008","Torino","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2009","Torino","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2010","Torino","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2011","Torino","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2000","Vercelli","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",100.95454,
"totale","2001","Vercelli","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",91.06007,
"totale","2002","Vercelli","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",135.52778,
"totale","2003","Vercelli","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",153.90221,
"totale","2004","Vercelli","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",170.42923,
"totale","2005","Vercelli","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",156.72269,
"totale","2006","Vercelli","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",148.66504,
"totale","2007","Vercelli","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",153.13505,
"totale","2008","Vercelli","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",155.79269,
"totale","2009","Vercelli","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",203.73707,
"totale","2010","Vercelli","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",199.20486,
"totale","2011","Vercelli","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",232.98078,
"totale","2012","Vercelli","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",332.28817,
"totale","2000","Vercelli","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",15.86286,
"totale","2001","Vercelli","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",15.3761,
"totale","2002","Vercelli","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",18.03705,
"totale","2003","Vercelli","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",22.40008,
"totale","2004","Vercelli","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",23.02089,
"totale","2005","Vercelli","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",21.3425,
"totale","2006","Vercelli","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",23.74452,
"totale","2007","Vercelli","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",24.27876,
"totale","2008","Vercelli","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",25.25604,
"totale","2009","Vercelli","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",32.48181,
"totale","2010","Vercelli","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",33.14285,
"totale","2011","Vercelli","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",40.0285,
"totale","2012","Vercelli","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",67.6551,
"totale","2000","Vercelli","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2001","Vercelli","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2002","Vercelli","popolazione servita dalla raccolta differenziata - percentuale",94,
"totale","2003","Vercelli","popolazione servita dalla raccolta differenziata - percentuale",95.1,
"totale","2004","Vercelli","popolazione servita dalla raccolta differenziata - percentuale",95,
"totale","2005","Vercelli","popolazione servita dalla raccolta differenziata - percentuale",95,
"totale","2006","Vercelli","popolazione servita dalla raccolta differenziata - percentuale",95,
"totale","2007","Vercelli","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2008","Vercelli","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2009","Vercelli","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2010","Vercelli","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2011","Vercelli","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2000","Novara","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",111.50088,
"totale","2001","Novara","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",138.6678,
"totale","2002","Novara","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",156.13104,
"totale","2003","Novara","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",147.97377,
"totale","2004","Novara","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",172.86518,
"totale","2005","Novara","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",255.94878,
"totale","2006","Novara","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",318.84116,
"totale","2007","Novara","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",334.82919,
"totale","2008","Novara","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",348.15736,
