VariableCode,RegionCode,YearCode,AggValue
cgdpe,EGY,2011,828785.00000000000000000
pop,ESP,2011,46.70836600000000000
cgdpe,ESP,2011,1534066.87500000000000000
pop,ETH,2011,89.85869600000000000
cgdpe,ETH,2011,96804.75000000000000000
pop,FIN,2011,5.39581600000000000
cgdpe,FIN,2011,219265.81250000000000000
pop,FJI,2011,0.86732700000000000
cgdpe,FJI,2011,6357.65332031250000000
pop,FRA,2011,65.19910400000000000
cgdpe,FRA,2011,2458600.00000000000000000
pop,GAB,2011,1.57729800000000000
cgdpe,GAB,2011,24165.12695312500000000
pop,GBR,2011,63.16494900000000000
cgdpe,GBR,2011,2304464.75000000000000000
pop,GRD,2011,0.10507000000000000
cgdpe,GRD,2011,1149.10534667969000000
pop,GEO,2011,4.19640100000000000
cgdpe,GEO,2011,33596.31250000000000000
pop,GHA,2011,24.92850300000000000
cgdpe,GHA,2011,85754.85156250000000000
pop,GMB,2011,1.74909900000000000
cgdpe,GMB,2011,2600.92382812500000000
pop,GIN,2011,11.31635100000000000
cgdpe,GIN,2011,14094.29882812500000000
pop,GNQ,2011,0.75091800000000000
cgdpe,GNQ,2011,30498.90625000000000000
pop,GRC,2011,11.15304700000000000
cgdpe,GRC,2011,293995.34375000000000000
pop,GTM,2011,15.04928000000000000
cgdpe,GTM,2011,98496.58593750000000000
pop,GNB,2011,1.67350900000000000
cgdpe,GNB,2011,2365.73999023438000000
pop,HKG,2011,7.04421100000000000
cgdpe,HKG,2011,350049.31250000000000000
pop,HND,2011,7.62141400000000000
cgdpe,HND,2011,32806.54296875000000000
pop,HRV,2011,4.30207300000000000
cgdpe,HRV,2011,88931.37500000000000000
pop,HUN,2011,9.98884600000000000
cgdpe,HUN,2011,231643.67187500000000000
pop,IDN,2011,244.80825400000000000
cgdpe,IDN,2011,2178113.75000000000000000
pop,IRL,2011,4.65271400000000000
cgdpe,IRL,2011,209437.85937500000000000
pop,ISR,2011,7.56333400000000000
cgdpe,ISR,2011,237265.92187500000000000
pop,IND,2011,1247.44601100000000000
cgdpe,IND,2011,5691067.50000000000000000
pop,IRQ,2011,31.86775800000000000
cgdpe,IRQ,2011,386257.31250000000000000
pop,IRN,2011,75.18432200000000000
cgdpe,IRN,2011,1373150.25000000000000000
pop,ISL,2011,0.32103000000000000
cgdpe,ISL,2011,12486.78906250000000000
pop,ITA,2011,59.67899300000000000
cgdpe,ITA,2011,2154116.50000000000000000
pop,JAM,2011,2.75235800000000000
cgdpe,JAM,2011,20885.98242187500000000
pop,JOR,2011,6.76037100000000000
cgdpe,JOR,2011,69378.14843750000000000
pop,JPN,2011,127.25290000000000000
cgdpe,JPN,2011,4383941.00000000000000000
pop,KEN,2011,41.41995400000000000
cgdpe,KEN,2011,105326.87500000000000000
pop,KGZ,2011,5.55382700000000000
cgdpe,KGZ,2011,19090.89453125000000000
pop,KHM,2011,14.59309900000000000
cgdpe,KHM,2011,37870.95312500000000000
pop,COM,2011,0.71597200000000000
cgdpe,COM,2011,1014.87689208984000000
pop,KNA,2011,0.05299800000000000
cgdpe,KNA,2011,1086.99804687500000000
pop,KOR,2011,49.35669200000000000
cgdpe,KOR,2011,1606234.25000000000000000
pop,KWT,2011,3.23918100000000000
cgdpe,KWT,2011,241983.81250000000000000
pop,KAZ,2011,16.55430500000000000
cgdpe,KAZ,2011,359249.90625000000000000
pop,LAO,2011,6.36690900000000000
cgdpe,LAO,2011,27541.07421875000000000
pop,LBN,2011,4.59169800000000000
cgdpe,LBN,2011,71298.59375000000000000
pop,LCA,2011,0.17927800000000000
cgdpe,LCA,2011,1859.72277832031000000
pop,LKA,2011,20.31567300000000000
cgdpe,LKA,2011,169465.20312500000000000
pop,LBR,2011,4.07957400000000000
cgdpe,LBR,2011,2944.75488281250000000
pop,LSO,2011,2.03295000000000000
cgdpe,LSO,2011,4701.14941406250000000
pop,LTU,2011,3.07059300000000000
cgdpe,LTU,2011,69059.50781250000000000
pop,LUX,2011,0.51998100000000000
cgdpe,LUX,2011,47029.67578125000000000
pop,LVA,2011,2.06366100000000000
cgdpe,LVA,2011,40864.75390625000000000
pop,MAR,2011,32.53196400000000000
cgdpe,MAR,2011,220289.32812500000000000
pop,MDA,2011,4.07781100000000000
cgdpe,MDA,2011,17515.49804687500000000
pop,MNE,2011,0.62295700000000000
cgdpe,MNE,2011,8564.60449218750000000
pop,MDG,2011,21.67886700000000000
cgdpe,MDG,2011,27645.16601562500000000
pop,MKD,2011,2.06588800000000000
cgdpe,MKD,2011,23325.33593750000000000
pop,MLI,2011,15.63911500000000000
cgdpe,MLI,2011,23279.77343750000000000
pop,MNG,2011,2.75907400000000000
cgdpe,MNG,2011,23884.82421875000000000
pop,MAC,2011,0.54668200000000000
cgdpe,MAC,2011,58823.02343750000000000
pop,MRT,2011,3.68322100000000000
cgdpe,MRT,2011,11652.90820312500000000
pop,MLT,2011,0.41407500000000000
cgdpe,MLT,2011,12096.43066406250000000
pop,MUS,2011,1.25308900000000000
cgdpe,MUS,2011,20214.82812500000000000
pop,MDV,2011,0.33861800000000000
cgdpe,MDV,2011,4469.96630859375000000
pop,MWI,2011,15.22681300000000000
cgdpe,MWI,2011,16557.35742187500000000
pop,MEX,2011,120.36527100000000000
cgdpe,MEX,2011,1857210.25000000000000000
pop,MYS,2011,28.57297000000000000
cgdpe,MYS,2011,604006.31250000000000000
pop,MOZ,2011,25.01692100000000000
cgdpe,MOZ,2011,23142.12109375000000000
pop,NAM,2011,2.24016100000000000
cgdpe,NAM,2011,19921.72851562500000000
pop,NER,2011,16.94648500000000000
cgdpe,NER,2011,13113.49316406250000000
pop,NGA,2011,163.77066900000000000
cgdpe,NGA,2011,846470.25000000000000000
pop,NLD,2011,16.68986300000000000
cgdpe,NLD,2011,769241.12500000000000000
pop,NOR,2011,4.95394500000000000
cgdpe,NOR,2011,301605.40625000000000000
pop,NPL,2011,27.17923700000000000
cgdpe,NPL,2011,52631.37109375000000000
pop,NZL,2011,4.40448300000000000
cgdpe,NZL,2011,141568.15625000000000000
pop,OMN,2011,3.21000300000000000
cgdpe,OMN,2011,144721.73437500000000000
pop,PAN,2011,3.68197900000000000
cgdpe,PAN,2011,59942.78515625000000000
pop,PER,2011,29.75989100000000000
cgdpe,PER,2011,307392.00000000000000000
pop,PHL,2011,94.50123300000000000
cgdpe,PHL,2011,543836.62500000000000000
pop,PAK,2011,173.66964800000000000
cgdpe,PAK,2011,757058.43750000000000000
pop,POL,2011,38.59421700000000000
cgdpe,POL,2011,864956.31250000000000000
pop,PRT,2011,10.55890900000000000
cgdpe,PRT,2011,284569.40625000000000000
pop,PRY,2011,6.29376300000000000
cgdpe,PRY,2011,46788.08984375000000000
pop,QAT,2011,1.90543700000000000
cgdpe,QAT,2011,298980.12500000000000000
pop,ROU,2011,20.11166400000000000
cgdpe,ROU,2011,354758.09375000000000000
pop,SRB,2011,7.23409900000000000
cgdpe,SRB,2011,88708.22656250000000000
pop,RUS,2011,143.21147600000000000
cgdpe,RUS,2011,3272003.25000000000000000
pop,RWA,2011,10.55642900000000000
cgdpe,RWA,2011,14611.85839843750000000
pop,SAU,2011,28.78843800000000000
cgdpe,SAU,2011,1469645.50000000000000000
pop,SDN,2011,47.19835545793600000
cgdpe,SDN,2011,180282.32812500000000000
pop,SWE,2011,9.46235200000000000
cgdpe,SWE,2011,410223.53125000000000000
pop,SGP,2011,5.19066600000000000
cgdpe,SGP,2011,372640.43750000000000000
pop,SVN,2011,2.05902300000000000
cgdpe,SVN,2011,58895.65234375000000000
pop,SVK,2011,5.41137700000000000
cgdpe,SVK,2011,137389.04687500000000000
pop,SLE,2011,5.90890800000000000
cgdpe,SLE,2011,7601.16210937500000000
pop,SEN,2011,13.35700300000000000
cgdpe,SEN,2011,27859.63281250000000000
pop,SUR,2011,0.52343900000000000
cgdpe,SUR,2011,7799.93310546875000000
pop,STP,2011,0.17464600000000000
cgdpe,STP,2011,488.45056152343800000
pop,SLV,2011,6.05520800000000000
cgdpe,SLV,2011,45166.75781250000000000
pop,SYR,2011,20.50116700000000000
cgdpe,SYR,2011,115549.57031250000000000
pop,SWZ,2011,1.21245800000000000
cgdpe,SWZ,2011,9212.50585937500000000
pop,TCD,2011,12.29851200000000000
cgdpe,TCD,2011,20649.79687500000000000
pop,TGO,2011,6.56617900000000000
cgdpe,TGO,2011,7994.22265625000000000
pop,THA,2011,66.90295800000000000
cgdpe,THA,2011,912006.93750000000000000
pop,TJK,2011,7.75392500000000000
cgdpe,TJK,2011,19105.89062500000000000
pop,TKM,2011,5.10667200000000000
cgdpe,TKM,2011,83594.80468750000000000
pop,TUN,2011,10.75887000000000000
cgdpe,TUN,2011,109398.78125000000000000
pop,TUR,2011,73.51700200000000000
cgdpe,TUR,2011,1288397.87500000000000000
pop,TTO,2011,1.33479000000000000
cgdpe,TTO,2011,40256.17187500000000000
pop,TWN,2011,23.19351800000000000
cgdpe,TWN,2011,939517.68750000000000000
pop,TZA,2011,45.81088200000000000
cgdpe,TZA,2011,93982.42968750000000000
pop,UKR,2011,45.47769000000000000
cgdpe,UKR,2011,456093.75000000000000000
pop,UGA,2011,34.26034200000000000
cgdpe,UGA,2011,61220.08593750000000000
pop,USA,2011,312.39036800000000000
cgdpe,USA,2011,15590957.00000000000000000
pop,URY,2011,3.38561000000000000
cgdpe,URY,2011,60884.06640625000000000
pop,UZB,2011,28.15839500000000000
cgdpe,UZB,2011,199131.20312500000000000
pop,VCT,2011,0.10934100000000000
cgdpe,VCT,2011,1012.60906982422000000
pop,VEN,2011,29.42763100000000000
cgdpe,VEN,2011,493934.25000000000000000
pop,VNM,2011,89.32190300000000000
cgdpe,VNM,2011,407190.93750000000000000
pop,YEM,2011,24.23494000000000000
cgdpe,YEM,2011,92029.37500000000000000
pop,ZAF,2011,52.23727200000000000
cgdpe,ZAF,2011,624811.31250000000000000
pop,ZMB,2011,14.34352600000000000
cgdpe,ZMB,2011,48678.65234375000000000
pop,ZWE,2011,14.25559200000000000
cgdpe,ZWE,2011,20720.43554687500000000
