VariableCode,RegionCode,YearCode,AggValue
rgdpo,ARE,2011,570435.06250000000000000
rgdpo,ATG,2011,1698.20532226563000000
rgdpo,AIA,2011,301.95263671875000000
rgdpo,ALB,2011,27369.60546875000000000
rgdpo,ARM,2011,25124.58203125000000000
rgdpo,CUW,2011,3607.86621093750000000
rgdpo,AGO,2011,175879.98437500000000000
rgdpo,ARG,2011,833239.00000000000000000
rgdpo,AUT,2011,349129.84375000000000000
rgdpo,AUS,2011,1039931.50000000000000000
rgdpo,ABW,2011,3579.35913085938000000
rgdpo,AZE,2011,149265.67187500000000000
rgdpo,BIH,2011,34340.81640625000000000
rgdpo,BRB,2011,3330.84570312500000000
rgdpo,BGD,2011,425255.46875000000000000
rgdpo,BEL,2011,419642.50000000000000000
rgdpo,BFA,2011,21651.29101562500000000
rgdpo,BGR,2011,111155.64062500000000000
rgdpo,BHR,2011,47502.77734375000000000
rgdpo,BDI,2011,7042.54785156250000000
rgdpo,BEN,2011,17959.16601562500000000
rgdpo,BMU,2011,3443.74462890625000000
rgdpo,BRN,2011,32637.04101562500000000
rgdpo,BOL,2011,53726.87890625000000000
rgdpo,BRA,2011,2973902.75000000000000000
rgdpo,BHS,2011,8140.20947265625000000
rgdpo,BTN,2011,5539.24072265625000000
rgdpo,BWA,2011,27952.53515625000000000
rgdpo,BLR,2011,170003.35937500000000000
rgdpo,BLZ,2011,2435.83398437500000000
rgdpo,CAN,2011,1455815.50000000000000000
rgdpo,COD,2011,46340.41796875000000000
rgdpo,CAF,2011,4120.03222656250000000
rgdpo,COG,2011,24540.34570312500000000
rgdpo,CHE,2011,465142.78125000000000000
rgdpo,CIV,2011,50356.80859375000000000
rgdpo,CHL,2011,338956.31250000000000000
rgdpo,CMR,2011,52663.55468750000000000
rgdpo,CHN,2011,13779918.00000000000000000
rgdpo,COL,2011,547021.31250000000000000
rgdpo,CRI,2011,56889.45703125000000000
rgdpo,CPV,2011,3117.12060546875000000
rgdpo,CYP,2011,23204.66992187500000000
rgdpo,CZE,2011,281526.31250000000000000
rgdpo,DEU,2011,3473488.75000000000000000
rgdpo,DJI,2011,2180.52465820313000000
rgdpo,DNK,2011,243004.76562500000000000
rgdpo,DMA,2011,638.59490966796900000
rgdpo,DOM,2011,117106.45312500000000000
rgdpo,DZA,2011,484803.93750000000000000
rgdpo,ECU,2011,151546.57812500000000000
rgdpo,EST,2011,29213.87109375000000000
rgdpo,EGY,2011,899590.68750000000000000
rgdpo,ESP,2011,1476010.75000000000000000
rgdpo,ETH,2011,107776.28906250000000000
rgdpo,FIN,2011,207375.06250000000000000
rgdpo,FJI,2011,6157.59521484375000000
rgdpo,FRA,2011,2392258.00000000000000000
rgdpo,GAB,2011,25871.73046875000000000
rgdpo,GBR,2011,2208982.75000000000000000
rgdpo,GRD,2011,1109.63989257813000000
rgdpo,GEO,2011,37542.00390625000000000
rgdpo,GHA,2011,81830.09375000000000000
rgdpo,GMB,2011,2918.46972656250000000
rgdpo,GIN,2011,15237.63769531250000000
rgdpo,GNQ,2011,32920.61718750000000000
rgdpo,GRC,2011,271560.81250000000000000
rgdpo,GTM,2011,100070.85937500000000000
rgdpo,GNB,2011,2364.51879882813000000
rgdpo,HKG,2011,313706.12500000000000000
rgdpo,HND,2011,33691.90625000000000000
rgdpo,HRV,2011,85236.41406250000000000
rgdpo,HTI,2011,16716.94726562500000000
rgdpo,HUN,2011,208628.65625000000000000
rgdpo,IDN,2011,2166273.00000000000000000
rgdpo,IRL,2011,227895.79687500000000000
rgdpo,ISR,2011,222138.90625000000000000
rgdpo,IND,2011,5947917.50000000000000000
rgdpo,IRQ,2011,365965.56250000000000000
rgdpo,IRN,2011,1355094.37500000000000000
rgdpo,ISL,2011,11794.95312500000000000
rgdpo,ITA,2011,2097792.75000000000000000
rgdpo,JAM,2011,19654.79882812500000000
rgdpo,JOR,2011,78522.82031250000000000
rgdpo,JPN,2011,4451222.50000000000000000
rgdpo,KEN,2011,112331.50000000000000000
rgdpo,KGZ,2011,23003.28710937500000000
rgdpo,KHM,2011,36424.91406250000000000
rgdpo,COM,2011,1058.88073730469000000
rgdpo,KNA,2011,977.18475341796900000
rgdpo,KOR,2011,1590547.62500000000000000
rgdpo,KWT,2011,249826.67187500000000000
rgdpo,CYM,2011,1010.16210937500000000
rgdpo,KAZ,2011,352639.43750000000000000
rgdpo,LAO,2011,28023.32421875000000000
rgdpo,LBN,2011,74520.93750000000000000
rgdpo,LCA,2011,1838.43823242188000000
rgdpo,LKA,2011,181168.03125000000000000
rgdpo,LBR,2011,3345.16943359375000000
rgdpo,LSO,2011,4770.02880859375000000
rgdpo,LTU,2011,62159.22656250000000000
rgdpo,LUX,2011,28095.12304687500000000
rgdpo,LVA,2011,38029.33203125000000000
rgdpo,MAR,2011,235086.39062500000000000
rgdpo,MDA,2011,19947.28710937500000000
rgdpo,MNE,2011,9809.71875000000000000
rgdpo,MDG,2011,29246.10742187500000000
rgdpo,MKD,2011,23388.35546875000000000
rgdpo,MLI,2011,23453.14843750000000000
rgdpo,MMR,2011,202453.15625000000000000
rgdpo,MNG,2011,26167.78906250000000000
rgdpo,MAC,2011,67208.21093750000000000
rgdpo,MRT,2011,11432.55957031250000000
rgdpo,MSR,2011,91.50608062744140000
rgdpo,MLT,2011,9884.50976562500000000
rgdpo,MUS,2011,20654.76757812500000000
rgdpo,MDV,2011,5688.50341796875000000
rgdpo,MWI,2011,16778.58007812500000000
rgdpo,MEX,2011,1830819.12500000000000000
rgdpo,MYS,2011,554024.12500000000000000
rgdpo,MOZ,2011,23131.20117187500000000
rgdpo,NAM,2011,18377.04492187500000000
rgdpo,NER,2011,13540.73437500000000000
rgdpo,NGA,2011,841091.68750000000000000
rgdpo,NIC,2011,24331.43554687500000000
rgdpo,NLD,2011,744237.00000000000000000
rgdpo,NOR,2011,399405.15625000000000000
rgdpo,NPL,2011,59482.62109375000000000
